Nationality,Department,Program,Applications 2019,Offers 2019,Entrances 2019,Applications 2020,Offers 2020,Entrances 2020,Applications 2021,Offers 2021,Entrances 2021,Applications 2022,Offers 2022,Entrances 2022
,Gender Stud.. PG Taught * * * 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Geography .. PG Taught 0 0 0 0 0,0 * 0,0 * *,0 * *,0,,,,,,,,,
,Government PG Taught * * 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 * *,0 * *,0 * *,*,,,,,,,,,
,International.. PG Taught 0 0 * 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 * *,0 * *,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Dominican,Management PG Taught 0 0 0 * *,0 * *,* 0 0,0 * *,0,,,,,,,,,
Republic,,,,,,,,,,,,,,
,Media and C.. PG Taught 0 0 0 0 0,0 0 0,0 * *,* * *,*,,,,,,,,,
,Methodology PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,"Philosophy, .. UG Degree 0 0 0 0 0",0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Psychologic.. PG Taught 0 0 0 * *,* * 0,0 0 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught * * 0 * *,0 * *,0 * *,* * *,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
Dutch,Accounting UG Degree 11 0 0 11 *,* 9 0,0 8 *,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* * 0,0 0 0,0 5 *,*,,,,,,,,,
,Anthropology UG Degree * 0 0 * *,0 * 0,0 5 *,* 6 *,0,,,,,,,,,
,PG Taught * * 0 0 0,0 * *,* * *,0 0 0,0,,,,,,,,,
,Economic UG Degree 5 0 0 5 *,* * *,* * 0,0 * *,*,,,,,,,,,
,History PG Taught 9 5 * * *,* 6 *,* 6 *,* * *,*,,,,,,,,,
,Economics UG Degree 25 * 0 17 *,0 18 *,* 11 0,0 17 *,*,,,,,,,,,
,PG Taught 6 * * * *,0 * *,0 * *,0 12 6,*,,,,,,,,,
,European In.. PG Taught 10 7 5 10 *,* 14 8,7 10 6,* 15 11,9,,,,,,,,,
,Finance UG Degree * * 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,PG Taught 12 * * 11 *,0 14 5,5 12 *,* 12 7,*,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 * *,* * *,* * 0,0 * *,*,,,,,,,,,
,Geography UG Degree * * 0 5 *,* * *,* 5 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught 10 * * 9 *,* 16 5,* 15 *,* 11 *,*,,,,,,,,,
,Government UG Degree 19 * 0 14 *,0 15 *,0 20 *,* 14 5,0,,,,,,,,,
,PG Taught 16 6 * 15 8,* 12 6,* 11 8,* 7 *,*,,,,,,,,,
,Health Policy PG Taught 6 * * * *,* 0 0,0 * *,* * *,*,,,,,,,,,
,International.. PG Taught 12 * * 13 7,* 16 5,* 9 6,5 11 6,*,,,,,,,,,
,International UG Degree 7 * 0 * *,0 7 *,* 5 *,0 7 *,*,,,,,,,,,
,History PG Taught * 0 0 * *,0 10 *,* * *,* * *,0,,,,,,,,,
,International UG Degree 7 0 0 5 0,0 6 0,0 5 *,* 10 *,0,,,,,,,,,
,Relations PG Taught 18 6 8 15 5,* 18 8,7 10 6,* 16 8,5,,,,,,,,,
,Language C.. UG Degree * 0 0 * 0,0 0 0,0 * *,* * *,0,,,,,,,,,
,Law School UG Degree 10 * * 19 *,* 14 5,* 12 *,* 14 5,*,,,,,,,,,
,PG Taught 9 * * 9 *,* 14 6,* 9 *,* 7 *,*,,,,,,,,,
,Management UG Degree 10 * 0 17 *,* 13 *,* 8 *,0 5 0,0,,,,,,,,,
,PG Taught 11 * * 23 10,* 15 *,* 10 5,* 20 8,6,,,,,,,,,
,Mathematics UG Degree 5 * * * *,* 6 0,0 * *,* * 0,0,,,,,,,,,
,PG Taught * * * * *,* 6 *,* * *,0 10 *,*,,,,,,,,,
,Media and C.. PG Taught * * * * *,* * *,0 * *,* 6 *,*,,,,,,,,,
,Methodology PG Taught * * * * *,0 * 0,0 * *,0 6 *,*,,,,,,,,,
,"Philosophy, UG Degree 14 * * 8 *",* 5 0,0 7 *,* 10 *,0,,,,,,,,,
,Logic and S.. PG Taught 9 * * 8 6,* * *,0 * *,* * *,*,,,,,,,,,
,Psychological UG Degree * 0 0 * 0,0 * 0,0 * *,0 * *,0,,,,,,,,,
,and Behavio.. PG Taught 8 * * 18 7,6 11 6,* 5 *,* * *,*,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 * *,* * 0,0 * *,* 7 *,*,,,,,,,,,
,Social Policy UG Degree * * * * *,* * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * * * *,* 5 *,0 * 0,0 6 *,*,,,,,,,,,
,Sociology UG Degree * * * * *,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 8 * * 6 0,0 10 5,* 6 *,* 9 5,*,,,,,,,,,
,Statistics UG Degree * 0 0 * 0,0 * 0,0 * *,0 5 *,0,,,,,,,,,
Dutch,Statistics PG Taught 8 * * 7 *,0 7 *,* 10 5,7 6 *,*,,,,,,,,,
Ecuadorean,Accounting UG Degree * 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Anthropology PG Taught * 0 0 0 0,0 0 0,0 * *,* * 0,0,,,,,,,,,
,Economic Hi.. PG Taught * * * 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 * *,* * *,0 * *,* 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 5 *,* * 0,0 * 0,0,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 * *,* * *,0 * *,0 * *,0,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught 8 5 * 9 *,* * *,0 * 0,0 * *,*,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 7 0 0 * *,0 8 *,0 * *,0 * 0,0,,,,,,,,,
,Health Policy PG Taught * * 0 * 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,International.. PG Taught 9 * * 5 *,* 6 *,* * *,* * 0,0,,,,,,,,,
,International UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Relations PG Taught 5 * 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 10 5 0 5 *,0 6 *,0 5 *,* * *,0,,,,,,,,,
,Management UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 5 *,* * *,* * *,* * *,0,,,,,,,,,
,Mathematics UG Degree 0 0 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 * *,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught * * * * *,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Methodology PG Taught * 0 0 * *,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,"Philosophy, UG Degree 0 0 0 * *",0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Logic and S.. PG Taught * * 0 0 0,0 0 0,0 * *,0 * 0,0,,,,,,,,,
,Psychologic.. PG Taught * * 0 * *,0 0 0,0 * *,* * *,0,,,,,,,,,
,School of Pu.. PG Taught * * * * *,* * *,0 * *,* * *,*,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 5 *,0 * 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 5 * 0 * *,0 5 0,0 0 0,0 * *,*,,,,,,,,,
,Statistics UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
Egyptian,Accounting UG Degree 7 0 0 6 0,0 * 0,0 * 0,0 5 0,0,,,,,,,,,
,PG Taught * * * 5 *,0 7 *,0 * *,* * *,0,,,,,,,,,
,Anthropology UG Degree 0 0 0 * 0,0 * *,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 5 *,0 * *,0 * *,0 * *,*,,,,,,,,,
,Economic UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,History PG Taught * 0 0 * *,0 * 0,0 * *,0 * *,0,,,,,,,,,
,Economics UG Degree 7 * * 6 0,0 11 *,* 9 0,0 17 *,0,,,,,,,,,
,PG Taught * * 0 5 *,0 * 0,0 8 *,0 0 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 * 0,0 * *,0 * *,* * *,*,,,,,,,,,
,Finance UG Degree * * * * 0,0 5 0,0 * *,0 6 *,0,,,,,,,,,
,PG Taught 14 * * 23 5,* 9 *,0 7 *,0 10 *,*,,,,,,,,,
,Gender Stud.. PG Taught * * 0 * *,0 7 *,* * *,* * 0,0,,,,,,,,,
,Geography UG Degree * * 0 * 0,0 * 0,0 * *,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught 7 * 0 6 5,0 * *,0 10 *,* 9 *,*,,,,,,,,,
Egyptian,,0 12 0,0 19 *,* 17 *,*,,Government UG Degree 11 *,* 14 0,,,,,,
,,0 8 *,* 13 *,0 10 *,*,,PG Taught 7 *,0 8 *,,,,,,
,,* 13 6,* 7 5,* 8 5,*,,Health Policy PG Taught 5 *,0 5 *,,,,,,
,,* 14 5,* 10 6,0 19 5,0,,International.. PG Taught 19 *,0 8 *,,,,,,
,,0 0 0,0 0 0,0 * 0,0,,International UG Degree 0 0,0 * 0,,,,,,
,,0 * *,* 0 0,0 * 0,0,,History PG Taught 0 0,* 0 0,,,,,,
,,0 * *,0 0 0,0 * 0,0,,International UG Degree * 0,0 0 0,,,,,,
,,0 5 *,0 14 *,0 14 6,*,,Relations PG Taught 8 0,0 8 *,,,,,,
,,* 13 0,0 15 *,0 8 0,0,,Law School UG Degree 7 *,* 13 *,,,,,,
,,0 8 5,* 7 *,* 9 5,*,,PG Taught 8 *,* 5 *,,,,,,
,,0 7 0,0 6 0,0 7 *,*,,Management UG Degree * 0,0 5 *,,,,,,
,,* 13 *,* 10 *,0 12 *,*,,PG Taught 20 6,* 15 *,,,,,,
,,0 * 0,0 * 0,0 * 0,0,,Mathematics UG Degree * 0,0 * 0,,,,,,
,,0 * 0,0 * *,0 0 0,0,,PG Taught * 0,0 * 0,,,,,,
,,* 7 *,* 6 *,0 * *,*,,Media and C.. PG Taught 7 0,0 5 *,,,,,,
,,0 * *,0 * 0,0 * *,0,,Methodology PG Taught * 0,0 * 0,,,,,,
,,0 6 0,0 * 0,0 * 0,0,,"Philosophy, UG Degree * 0",0 * 0,,,,,,
,,0 * 0,0 * 0,0 * 0,0,,Logic and S.. PG Taught * *,0 * 0,,,,,,
,,0 * 0,0 * 0,0 * *,0,,Psychological UG Degree * 0,0 0 0,,,,,,
,,0 * 0,0 * 0,0 6 *,*,,and Behavio.. PG Taught 6 0,0 * 0,,,,,,
,,* * *,0 * *,0 8 *,*,,School of Pu.. PG Taught 5 *,0 7 6,,,,,,
,,0 * 0,0 * 0,0 0 0,0,,Social Policy UG Degree 0 0,0 * 0,,,,,,
,,0 * *,0 * *,* * 0,0,,PG Taught 7 *,* * 0,,,,,,
,,0 6 *,0 12 *,0 13 5,*,,Sociology PG Taught 8 *,* 6 *,,,,,,
,,0 * 0,0 6 0,0 6 0,0,,Statistics UG Degree * 0,0 * 0,,,,,,
,,0 14 0,0 * *,* * *,0,,PG Taught * *,* * 0,,,,,,
El,,0 0 0,0 0 0,0 0 0,0,,Accounting UG Degree 0 0,0 * 0,,,,,,
Salvadorean,,0 0 0,0 0 0,0 0 0,0,,Economic Hi.. PG Taught * 0,0 0 0,,,,,,
,,0 0 0,0 * *,0 0 0,0,,Economics UG Degree * 0,0 0 0,,,,,,
,,0 * *,0 0 0,0 0 0,0,,PG Taught * 0,0 * *,,,,,,
,,0 0 0,0 0 0,0 * *,0,,Gender Stud.. PG Taught 0 0,0 0 0,,,,,,
,,0 * 0,0 0 0,0 * *,*,,Geography .. PG Taught 0 0,0 0 0,,,,,,
,,0 0 0,0 0 0,0 0 0,0,,Government UG Degree * 0,0 0 0,,,,,,
,,0 0 0,0 0 0,0 0 0,0,,PG Taught * 0,0 * 0,,,,,,
,,0 * *,0 * *,0 * *,0,,International.. PG Taught * 0,0 * *,,,,,,
,,0 * 0,0 * 0,0 0 0,0,,International.. UG Degree 0 0,0 0 0,,,,,,
,,0 * 0,0 0 0,0 0 0,0,,International UG Degree 0 0,0 0 0,,,,,,
,,0 0 0,0 0 0,0 0 0,0,,Relations PG Taught * 0,0 0 0,,,,,,
,,0 * 0,0 0 0,0 0 0,0,,Law School PG Taught 0 0,0 0 0,,,,,,
,,0 0 0,0 * 0,0 0 0,0,,Management UG Degree * 0,0 0 0,,,,,,
,,0 * 0,0 0 0,0 * 0,0,,PG Taught * *,0 * 0,,,,,,
,,0 0 0,0 0 0,0 0 0,0,,Mathematics PG Taught * 0,0 0 0,,,,,,
,,* 0 0,0 0 0,0 * *,*,,Media and C.. PG Taught 0 0,0 * *,,,,,,
,,0 * 0,0 0 0,0 * *,0,,Methodology PG Taught * 0,0 0 0,,,,,,
,,0 0 0,0 0 0,0 0 0,0,,"Philosophy, .. UG Degree 0 0",0 * 0,,,,,,
,,* 0 0,0 0 0,0 0 0,0,,Psychologic.. PG Taught 0 0,0 * *,,,,,,
,,0 * *,* 0 0,0 0 0,0,,School of Pu.. PG Taught * 0,0 * *,,,,,,
,,0 * 0,0 0 0,0 0 0,0,,Social Policy UG Degree 0 0,0 0 0,,,,,,
,,0 0 0,0 * *,* 0 0,0,,PG Taught 0 0,0 * *,,,,,,
,,0 * *,0 * 0,0 0 0,0,,Sociology PG Taught * *,* 0 0,,,,,,
,,0 0 0,0 0 0,0 * 0,0,,Statistics UG Degree 0 0,0 0 0,,,,,,
Salvadorean,Statistics PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Eritrean,Accounting UG Degree * 0 0 * 0,0 * 0,0 0 0,0 * *,*,,,,,,,,,
,Anthropology PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Geography .. PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 0 0,0 0 0,0 * *,* * 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Management UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Estonian,Accounting UG Degree * 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Anthropology UG Degree * 0 0 0 0,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,Economics UG Degree * * * * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 * *,* * 0,0 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Geography .. UG Degree 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Government UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Health Policy PG Taught 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,International.. PG Taught 0 0 0 * *,0 * *,0 * *,0 0 0,0,,,,,,,,,
,International.. UG Degree * * 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,International UG Degree * 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * * 0 0 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,Language C.. UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
,Management UG Degree * 0 0 * 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Mathematics UG Degree 0 0 0 * 0,0 * 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 * *,* 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Methodology PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,"Philosophy, UG Degree 0 0 0 * 0",0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,Logic and S.. PG Taught * * * 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Psychological UG Degree 0 0 0 * *,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught * 0 0 * *,0 0 0,0 * *,0 0 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,Social Policy UG Degree * * * 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Sociology UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Statistics UG Degree * * * 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
Ethiopian,Accounting PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
Ethiopian,Economic Hi.. PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economics UG Degree 0 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * *,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,European In.. PG Taught 0 0 0 0 0,0 0 0,0 * *,* * *,0,,,,,,,,,
,Finance PG Taught * 0 0 0 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Gender Stud.. PG Taught * 0 0 * *,0 * *,0 0 0,0 * *,*,,,,,,,,,
,Geography UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,and Environ.. PG Taught * 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,Government UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 * 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Health Policy PG Taught 6 * * * *,* * *,* 8 6,0 6 5,0,,,,,,,,,
,International.. PG Taught 8 * * 5 *,0 * *,0 * *,0 6 *,0,,,,,,,,,
,International.. PG Taught 0 0 0 * 0,0 * 0,0 * 0,0 * *,0,,,,,,,,,
,Law School PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Management PG Taught * 0 0 0 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,Mathematics PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 * 0,0 0 0,0 * 0,0 * *,0,,,,,,,,,
,Methodology PG Taught 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,"Philosophy, UG Degree 0 0 0 0 0",0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 * 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,Psychological UG Degree 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,and Behavio.. PG Taught 0 0 0 * *,* 0 0,0 0 0,0 * *,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 * *,0 * *,0 * *,* 7 *,0,,,,,,,,,
,Social Policy UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 * 0,0 * *,0 * *,0 * 0,0,,,,,,,,,
,Sociology UG Degree 0 0 0 * *,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * * * *,0 * *,0 6 *,0 5 *,0,,,,,,,,,
,Statistics PG Taught 0 0 0 0 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
Faroese,European In.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,0,,,,,,,,,
,Law School UG Degree 0 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
Fijian,Accounting UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Geography .. UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Law School UG Degree 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Management PG Taught 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Media and C.. PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * 0,0,,,,,,,,,
,School of Pu.. PG Taught 0 0 0 0 0,0 * *,0 0 0,0 0 0,0,,,,,,,,,
,Social Policy UG Degree * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * 0 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Sociology PG Taught 0 0 0 0 0,0 0 0,0 0 0,0 * *,*,,,,,,,,,
Filipino,Accounting UG Degree 5 0 0 * 0,0 * 0,0 * *,0 5 0,0,,,,,,,,,
,PG Taught 0 0 0 0 0,0 * 0,0 * *,0 0 0,0,,,,,,,,,
,Anthropology UG Degree * 0 0 * 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught * * 0 0 0,0 0 0,0 0 0,0 0 0,0,,,,,,,,,
,Economic UG Degree 0 0 0 * 0,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
,History PG Taught 0 0 0 * 0,0 0 0,0 * *,0 * *,0,,,,,,,,,
,Economics UG Degree * 0 0 * 0,0 * *,0 * 0,0 5 0,0,,,,,,,,,
,PG Taught * 0 0 * *,* 0 0,0 0 0,0 * 0,0,,,,,,,,,
,European In.. PG Taught * * * 0 0,0 * *,* 0 0,0 0 0,0,,,,,,,,,
,Finance UG Degree * 0 0 0 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,PG Taught 0 0 0 5 *,0 * 0,0 * 0,0 * 0,0,,,,,,,,,
Filipino,Gender Stud.. PG Taught * 0 0 * *,* * *,* * 0,0 0 0,0,,,,,,,,,
,Geography UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,and Environ.. PG Taught 14 5 0 6 *,* * *,0 6 *,0 8 *,*,,,,,,,,,
,Government UG Degree * 0 0 * 0,0 5 0,0 7 *,* * *,*,,,,,,,,,
,PG Taught 8 * * * *,0 * 0,0 * *,0 9 *,*,,,,,,,,,
,Health Policy PG Taught 5 * * * *,0 * *,* * *,0 * *,*,,,,,,,,,
,International.. PG Taught 9 0 0 7 0,0 5 *,0 6 *,0 17 *,*,,,,,,,,,
,International UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,History PG Taught 0 0 0 * *,0 * 0,* * *,* 0 0,*,,,,,,,,,
,International UG Degree 0 0 0 * 0,0 0 0,0 * 0,0 * 0,0,,,,,,,,,
,Relations PG Taught * 0 0 * *,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Language C.. UG Degree * 0 0 * 0,0 * 0,0 * 0,0 0 0,0,,,,,,,,,
,Law School UG Degree * 0 0 6 0,0 * *,0 * *,* 5 *,*,,,,,,,,,
,PG Taught 7 * 0 7 *,0 8 0,0 9 *,0 13 *,*,,,,,,,,,
,Management UG Degree * 0 0 * 0,0 5 0,0 0 0,0 * *,0,,,,,,,,,
,PG Taught 11 * * 6 *,0 8 *,0 7 5,* 5 *,*,,,,,,,,,
,Mathematics UG Degree 0 0 0 0 0,0 * 0,0 0 0,0 0 0,0,,,,,,,,,
,PG Taught 0 0 0 * 0,0 * *,0 0 0,0 * 0,0,,,,,,,,,
,Media and C.. PG Taught 9 * 0 11 5,* * *,0 7 *,0 5 *,0,,,,,,,,,
,Methodology PG Taught * 0 0 5 *,0 * *,0 * *,* * 0,0,,,,,,,,,
,"Philosophy, UG Degree * 0 0 * *",* * 0,0 0 0,0 0 0,0,,,,,,,,,
,Logic and S.. PG Taught 0 0 0 * *,0 * 0,0 * *,0 * *,*,,,,,,,,,
,Psychological UG Degree * 0 0 0 0,0 0 0,0 * 0,0 0 0,0,,,,,,,,,
,and Behavio.. PG Taught * * * * *,0 * *,0 6 *,* * *,0,,,,,,,,,
,School of Pu.. PG Taught * 0 0 9 5,* 5 *,* 10 6,* 9 5,*,,,,,,,,,
